CourseId,CourseName,Category,Skill,Level,Duration
C001,Advanced Leadership,Behavioral,Leadership,Advanced,3 hours
C002,Effective Communication,Behavioral,Communication,Intermediate,2 hours
C003,Data Science Bootcamp,Technical,Technical Skills,Beginner,5 hours
C004,Project Management Principles,Management,Project Management,Beginner,4 hours
C005,Introduction to Python Programming,Technical,Programming,Beginner,6 hours
C006,Advanced Excel Formulas and Functions,Technical,Excel,Advanced,2 hours
C007,Digital Marketing Strategies,Marketing,Digital Marketing,Intermediate,3 hours
C008,Machine Learning A-Z,Technical,Machine Learning,Advanced,7 hours
C009,The Complete SQL Bootcamp,Technical,SQL,Beginner,5 hours
C010,Creative Problem Solving,Behavioral,Problem Solving,Intermediate,2 hours
C011,Negotiation Skills,Behavioral,Negotiation,Advanced,3 hours
C012,Time Management Mastery,Behavioral,Time Management,Intermediate,2 hours
C013,Fundamentals of Graphic Design,Creative,Design,Beginner,4 hours
C014,Web Development Bootcamp,Technical,Web Development,Beginner,8 hours
C015,Data Analysis with Pandas,Technical,Data Analysis,Intermediate,5 hours
C016,Introduction to Cybersecurity,Technical,Cybersecurity,Beginner,3 hours
C017,Advanced CSS Techniques,Technical,CSS,Advanced,2 hours
C018,User Experience (UX) Design Fundamentals,Creative,UX Design,Beginner,4 hours
C019,Agile Project Management,Management,Agile,Intermediate,3 hours
C020,Introduction to Cloud Computing,Technical,Cloud Computing,Beginner,5 hours
C021,Social Media Marketing,Marketing,Social Media,Intermediate,3 hours
C022,Search Engine Optimization (SEO) Basics,Marketing,SEO,Beginner,2 hours
C023,Content Marketing Strategy,Marketing,Content Marketing,Intermediate,3 hours
C024,Email Marketing Essentials,Marketing,Email Marketing,Beginner,2 hours
C025,Google Ads Certification,Marketing,Google Ads,Advanced,4 hours
C026,Facebook Blueprint Certification,Marketing,Facebook Ads,Advanced,4 hours
C027,Instagram Marketing 101,Marketing,Instagram,Beginner,2 hours
C028,LinkedIn Advertising,Marketing,LinkedIn,Intermediate,3 hours
C029,YouTube Marketing,Marketing,YouTube,Beginner,2 hours
C030,Advanced Data Visualization with Tableau,Technical,Tableau,Advanced,3 hours
C031,Introduction to R Programming,Technical,R,Beginner,6 hours
C032,Deep Learning Specialization,Technical,Deep Learning,Advanced,8 hours
C033,Data Science for Business,Technical,Data Science,Intermediate,5 hours
C034,Big Data Analytics,Technical,Big Data,Advanced,7 hours
C035,Introduction to DevOps,Technical,DevOps,Beginner,4 hours
C036,Continuous Integration and Continuous Deployment (CI/CD),Technical,CI/CD,Intermediate,3 hours
